trdnbr,creat_time,creat_usrnbr,updat_time,updat_usrnbr,protection,owner_usrnbr,four_eye_on,authorizer_usrnbr,version_id,prfnbr,insaddr,acquire_day,acquirer_ptynbr,curr,value_day,time,quantity,price,premium,fee,bo_fx_rate,bo_trdnbr,premium_calculation_method,status,counterparty_ptynbr,trader_usrnbr,optkey1_chlnbr,optkey2_chlnbr,optkey3_chlnbr,optkey4_chlnbr,hedge_trdnbr,trx_trdnbr,opening_bo_trdnbr,optional_key,type,market_ptynbr,broker_ptynbr,document_type_chlnbr,guarantor_ptynbr,calcagent,text1,text2,your_ref,contract_trdnbr,execution_time,aggregate,aggregate_trdnbr,aggregate_pl,discount,sales_credit,sales_person_usrnbr,ordnbr,original_curr,mirror_trdnbr,correction_trdnbr,haircut,right_of_substitution,sales_margin,flat_accrued,connected_trdnbr,haircut_type,category,re_acquire_day,settle_category_chlnbr,quantity_is_derived,reference_price,trade_process,group_trdnbr,cls_status,match_day,primary_issuance,points_sales_margin,post_trade_report_seqnbr,spread_first_period,matching_trade_link_count,order_uuid,base_cost_dirty,interest_rate_at_trade_time,disc_type_chlnbr,position_currency_pair,opening_deal_package_seqnbr,unique_trade_identifier
16195,2022-09-29 09:47:47,20,2022-09-30 01:21:55,19,"W:R,O:RWD,G:RWD,U:RWD",20,0,0,1,270,5612,10/10/2022,207,6,10/10/2022,2022-09-29 09:32:57,189089.5338942989,0.6188764,-117023.0500141817,0.0,0.0,0,None,FO Confirmed,257,20,0,0,0,0,0,0,0,,Normal,0,0,1113,0,None,,,,16195,2022-09-30 01:21:55,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,16195,None,None,,0,0,0.0,0,0,None,1970-01-01 00:00:00,0,0.0,0,0.0,0,,0.0,0.0,0,0,0,
16196,2022-09-29 09:48:21,20,2022-09-30 01:23:53,19,"W:R,O:RWD,G:RWD,U:RWD",20,0,0,1,270,5612,10/10/2022,207,6,10/10/2022,2022-09-29 09:48:21,-189089.533894299,0.66635259,126000.3006523589,0.0,0.0,0,None,FO Confirmed,541,20,0,0,0,0,0,0,0,,Normal,0,0,0,0,None,,,,16196,2022-09-30 01:23:53,0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0.0,0,16196,None,None,,0,0,0.0,0,0,None,1970-01-01 00:00:00,0,0.0,0,0.0,0,,0.0,0.0,0,0,0,
